food_id,food_name,serving_size,calories,fat_type,total_fat,sat_fat,trans_fat,cholesterol,sodium,protein,total_carbon,fiber,sugar,calcium,iron,vaiu,vc,meal,location,allergen,tag,ingredient
30186.0,"Soy Iced Chai, Tall",1 TALL,117.0,0,0g,0g,0g,0mg,12mg,0g,28.6g,0g,27.1g,0%,0%,0%,0%,breakfast & lunch & dinner,Deets,"Tree Nuts, Soybeans, Gluten",None,"VANILLA CHAI TEA (water, organic evaporated cane juice, organic black tea, organic  vanilla, organic spices, honey, citric acid, organic ginger and natural  flavors), CRUSHED ICE"
30187.0,"Soy Iced Flavored Latte, Grande",1 GRANDE,224.0,37,4.1g,0.6g,0g,0mg,112.4mg,7.1g,37.7g,1.2g,35.4g,53%,7%,12%,0%,breakfast & lunch & dinner,Deets,"Tree Nuts, Soybeans","soy, milk, ","VANILLA SOY MILK (soymilk (filtered water, whole soybeans), cane sugar, natural flavor, sea salt, carrageenan, calcium carbonate, vitamin a palmitate, zinc gluconate, vitamin d2, riboflavin (b2), vitamin b12. contains: soy  produced in a facility that also processes almond and coconut. silk employs stringent allergen quality control procedures in all of our manufacturing facilities. ), CRUSHED ICE, VANILLA SYRUP (pure cane sugar, water, natural vanilla extract with other natural flavor, sodium benzoate and potassium sorbate (preservatives), citric acid, caramel color)"
30188.0,"Soy Iced Flavored Latte, Short",1 SHORT,152.0,26,2.9g,0.4g,0g,0mg,78.6mg,5g,25.3g,0.8g,23.7g,37%,5%,8%,0%,breakfast & lunch & dinner,Deets,"Tree Nuts, Soybeans","soy, milk, ","VANILLA SOY MILK (soymilk (filtered water, whole soybeans), cane sugar, natural flavor, sea salt, carrageenan, calcium carbonate, vitamin a palmitate, zinc gluconate, vitamin d2, riboflavin (b2), vitamin b12. contains: soy  produced in a facility that also processes almond and coconut. silk employs stringent allergen quality control procedures in all of our manufacturing facilities. ), CRUSHED ICE, VANILLA SYRUP (pure cane sugar, water, natural vanilla extract with other natural flavor, sodium benzoate and potassium sorbate (preservatives), citric acid, caramel color)"
30189.0,"Soy Iced Flavored Latte, Tall",1 TALL,206.0,32,3.5g,0.5g,0g,0mg,95.5mg,6g,36.1g,1g,34.1g,45%,6%,10%,0%,breakfast & lunch & dinner,Deets,"Tree Nuts, Soybeans","soy, milk, ","VANILLA SOY MILK (soymilk (filtered water, whole soybeans), cane sugar, natural flavor, sea salt, carrageenan, calcium carbonate, vitamin a palmitate, zinc gluconate, vitamin d2, riboflavin (b2), vitamin b12. contains: soy  produced in a facility that also processes almond and coconut. silk employs stringent allergen quality control procedures in all of our manufacturing facilities. ), CRUSHED ICE, VANILLA SYRUP (pure cane sugar, water, natural vanilla extract with other natural flavor, sodium benzoate and potassium sorbate (preservatives), citric acid, caramel color)"
30190.0,"Soy Iced Latte, Grande",1 GRANDE,142.0,45,5g,0.7g,0g,0mg,134.7mg,8.5g,12.8g,1.4g,9.9g,64%,9%,14%,0%,breakfast & lunch & dinner,Deets,"Tree Nuts, Soybeans","soy, milk, ","VANILLA SOY MILK (soymilk (filtered water, whole soybeans), cane sugar, natural flavor, sea salt, carrageenan, calcium carbonate, vitamin a palmitate, zinc gluconate, vitamin d2, riboflavin (b2), vitamin b12. contains: soy  produced in a facility that also processes almond and coconut. silk employs stringent allergen quality control procedures in all of our manufacturing facilities. ), CRUSHED ICE"
30191.0,"Soy Iced Latte, Short",1 SHORT,95.0,30,3.3g,0.5g,0g,0mg,89.8mg,5.7g,8.5g,0.9g,6.6g,43%,6%,9%,0%,breakfast & lunch & dinner,Deets,"Tree Nuts, Soybeans","soy, milk, ","VANILLA SOY MILK (soymilk (filtered water, whole soybeans), cane sugar, natural flavor, sea salt, carrageenan, calcium carbonate, vitamin a palmitate, zinc gluconate, vitamin d2, riboflavin (b2), vitamin b12. contains: soy  produced in a facility that also processes almond and coconut. silk employs stringent allergen quality control procedures in all of our manufacturing facilities. ), CRUSHED ICE"
30192.0,"Soy Iced Latte, Tall",1 TALL,118.0,37,4.1g,0.6g,0g,0mg,112.4mg,7.1g,10.6g,1.2g,8.3g,53%,7%,12%,0%,breakfast & lunch & dinner,Deets,"Tree Nuts, Soybeans","soy, milk, ","VANILLA SOY MILK (soymilk (filtered water, whole soybeans), cane sugar, natural flavor, sea salt, carrageenan, calcium carbonate, vitamin a palmitate, zinc gluconate, vitamin d2, riboflavin (b2), vitamin b12. contains: soy  produced in a facility that also processes almond and coconut. silk employs stringent allergen quality control procedures in all of our manufacturing facilities. ), CRUSHED ICE"
30193.0,"Soy Iced Mocha, Grande",1 GRANDE,299.0,37,4.1g,0.6g,0g,0mg,139.5mg,7.1g,54.1g,3g,44.5g,53%,7%,12%,0%,breakfast & lunch & dinner,Deets,"Tree Nuts, Soybeans","soy, milk, ","VANILLA SOY MILK (soymilk (filtered water, whole soybeans), cane sugar, natural flavor, sea salt, carrageenan, calcium carbonate, vitamin a palmitate, zinc gluconate, vitamin d2, riboflavin (b2), vitamin b12. contains: soy  produced in a facility that also processes almond and coconut. silk employs stringent allergen quality control procedures in all of our manufacturing facilities. ), CRUSHED ICE, CHOCOLATE SYRUP (high fructose corn syrup, corn syrup, water, cocoa, sugar, contains 2% or less of potassium sorbate (preservative), salt, mono- and diglycerides, xanthan gum, polysorbate 60, vanillin, artificial flavor. )"
30194.0,"Soy Iced Mocha, Short",1 SHORT,172.0,26,2.9g,0.4g,0g,0mg,92mg,5g,28.8g,1.7g,23.6g,37%,5%,8%,0%,breakfast & lunch & dinner,Deets,"Tree Nuts, Soybeans","soy, milk, ","VANILLA SOY MILK (soymilk (filtered water, whole soybeans), cane sugar, natural flavor, sea salt, carrageenan, calcium carbonate, vitamin a palmitate, zinc gluconate, vitamin d2, riboflavin (b2), vitamin b12. contains: soy  produced in a facility that also processes almond and coconut. silk employs stringent allergen quality control procedures in all of our manufacturing facilities. ), CHOCOLATE SYRUP (high fructose corn syrup, corn syrup, water, cocoa, sugar, contains 2% or less of potassium sorbate (preservative), salt, mono- and diglycerides, xanthan gum, polysorbate 60, vanillin, artificial flavor. )"
30195.0,"Soy Iced Mocha, Tall",1 TALL,236.0,32,3.5g,0.5g,0g,0mg,115.8mg,6g,41.4g,2.4g,34g,45%,6%,10%,0%,breakfast & lunch & dinner,Deets,"Tree Nuts, Soybeans","soy, milk, ","VANILLA SOY MILK (soymilk (filtered water, whole soybeans), cane sugar, natural flavor, sea salt, carrageenan, calcium carbonate, vitamin a palmitate, zinc gluconate, vitamin d2, riboflavin (b2), vitamin b12. contains: soy  produced in a facility that also processes almond and coconut. silk employs stringent allergen quality control procedures in all of our manufacturing facilities. ), CRUSHED ICE, CHOCOLATE SYRUP (high fructose corn syrup, corn syrup, water, cocoa, sugar, contains 2% or less of potassium sorbate (preservative), salt, mono- and diglycerides, xanthan gum, polysorbate 60, vanillin, artificial flavor. )"
