,food_name,serving_size,calories,fat_type,total_fat,sat_fat,trans_fat,cholesterol,sodium,protein,total_carbon,fiber,sugar,calcium,iron,vaiu,vc,ingredient,meal
128,Make your own Waffle*,1 WAFFLE,318,32,3.5g,0g,0g,0mg,978.4mg,5.9g,62.5g,1.2g,5.9g,35%,24%,0%,0%,"WATER, WAFFLE MIX (enriched wheat flour (wheat flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid), sugar, soybean oil, sodium bicarbonate, monocalcium phosphate, contains 2% or less of the following: natural and artificial flavors (dextrose, malodextrin, starch, silicon dioxide), salt, yellow corn flour, buttermilk, malted barley extract contains: wheat and milk)",lunch
129,"Pancake Syrup, Maple**",1 OZL,151,0,0g,0g,0g,0mg,37.9mg,0g,37.9g,0g,26.2g,0%,0%,0%,0%,"PANCAKE SYRUP (corn syrup, water, high fructose corn syrup,  salt, natural and artificial flavors, potassium sorbate, sodium benzoate and benzoic acid (preservatives), caramel color, cellulose gum)",lunch
130,Peanut Butter Cookie*,1 COOKIE,165,79,8.8g,3g,0g,15.8mg,113.9mg,3.5g,17.9g,0.7g,9.2g,2%,6%,0%,0%,"Peanut Butter Cookies (PASTRY FLOUR (enriched flour (wheat flour, niacin, iron, thiamine, mononitrate, riboflavin, folic  acid.), PEANUT BUTTER (peanuts, dextrose, hydrogenated vegetable oil (rapeseed and/or cottonseed and/or soybean), salt.  contains: peanuts ), SUGAR (sugar), BROWN SUGAR (SUGAR, CANE SYRUPS), TRANSFAT FREE SHORTENING (palm oil), EGG MIX (whole eggs, egg yolks, dextrin, salt, cellulose gum, propylene glycol.), WHOLE MILK (milk, vitamin D3 added), PEANUTS (dry roasted peanuts. processed in a facility that processes peanuts, tree nuts, milk, egg, wheat and soybeans. ), NUMOLINE SYRUP (invert sugar.), BAKING SODA (sodium bicarbonate), BAKING POWDER (baking soda (for leavening), cornstarch, sodium aluminum sulfate (for leavening), calcium sulfate, monocalcium phosphate (for leavening). ))",lunch
131,Strawberry Sauce**,1 OZL,68,0,0g,0g,0g,0mg,5.6mg,0.1g,16.6g,0.5g,15.8g,1%,1%,0%,9%,"Strawberry Sauce** (STRAWBERRIES (strawberries, sugar), SUGAR (sugar), Clearjel (food starch, modified food starch, modified corn starch))",lunch
132,Vanilla Pudding*,2 2/3 OZL,94,19,2.1g,1.2g,0.1g,6.4mg,181.4mg,2g,16.6g,0g,14.1g,12%,0%,2%,0%,"WHOLE MILK (milk, vitamin D3 added), VANILLA PUDDING (dextrose, sugar, modified food starch, sodium phosphate, calcium sulfate, natural and artificial flavor, salt, xanthan gum, mono and diglycerides, yellow 5, yellow 6.  contains: milk )",lunch
133,Whipped Topping**,1 OZL,24,18,1.9g,1.9g,0g,0mg,0mg,0g,1.9g,0g,1.9g,0%,0%,0%,0%,"WHIPPED TOPPING (water, high fructose corn syrup, hydrogenated coconut oil,  partially hydrogenated palm kernel oil, contains less than 2% of the  following: carbohydrate gum, sugar, polysorbate 60, polyglycerol esters  of fatty acids, salt, sodium alginate, soy lecithin, artificial flavor,  sodium citrate, natural flavor, colored with turmeric and annatto  extracts. contains soy)",lunch
134,Bacon,1 OZ,113,76,8.5g,2.8g,  Sugars ,%,%,Sodium ,1.4g, ,Cholesterol ,,,,,"BACON (bacon cured with water, salt, sugar, sodium phosphates, sodium  erythorbate, sodium nitrite.)",dinner
135,Breakfast Ham,2 OZ,91,46,5.1g,1.5g,0g,30.4mg,475.9mg,9.1g,1g,0g,1g,0%,2%,0%,0%,"HAM (easy slice carving ham cured with water, salt, sodium lactate, sugar, sodium phosphate, sodium  diacetate, sodium erythorbate, sodium nitrite.), VEGETABLE PAN SPRAY (soybean oil, soybean lecithin (hr), silicon dioxide, water and  propellant (non-chloroflurocarbon). contains: soy.)",dinner
136,"Cheese, Provolone*",1 OZ,101,73,8.1g,4.6g,0g,20.3mg,202.5mg,7.1g,1g,0g,0g,20%,0%,4%,0%,"PROVOLONE CHEESE (pasteurized milk, cheese cultures, salt, enzymes. contains: milk.)",dinner
137,Diced Green Peppers**,1/4 OZ,1,0,0g,0g,0g,0mg,0.2mg,0.1g,0.3g,0.1g,0.2g,0%,0%,1%,9%,FRESH GREEN PEPPERS,dinner
138,Egg Whites*,4 OZ,59,2,0.2g,0g,- - - g,0mg,188.2mg,12.4g,0.8g,0g,0.8g,1%,1%,0%,0%,EGG WHITES,dinner
139,Eggs for Omelettes*,4 OZ,226,157,17.4g,4.5g,0g,423mg,140.6mg,14.3g,1.3g,0g,1.3g,6%,7%,12%,0%,"EGGS (whole eggs, citric acid, .15% water added as a carrier for citric acid. citric acid added to preserve color.  contains: eggs ), SHORTENING (soybean oil with tbhq and citric acid added as preservatives and  dimethylpolysiloxane added as an anti-foaming agent)",dinner
140,Feathered Onions,1 OZ,11,0,0g,0g,0g,0mg,1.1mg,0.3g,2.6g,0.5g,1.2g,1%,0%,0%,3%,None,dinner
141,Feta Cheese*,1 OZ,75,54,6g,4.2g,- - - g,25.2mg,316.4mg,4g,1.2g,0g,1.2g,14%,1%,2%,0%,"FETA CHEESE (pasteurized milk, cheese cultures, salt, enzymes)",dinner
142,Fresh Diced Tomatoes**,1/4 OZ,1,0,0g,0g,0g,0mg,0.4mg,0.1g,0.3g,0.1g,0.2g,0%,0%,1%,2%,FRESH TOMATOES,dinner
143,Fresh Sliced Mushrooms**,1/4 OZ,2,0,0g,0g,0g,0mg,0.4mg,0.2g,0.2g,0.1g,0.1g,0%,0%,0%,0%,FRESH MUSHROOMS,dinner
144,Fresh Spinach**,1/2 OZ,2,0,0g,0g,0g,0mg,6.6mg,0.3g,0.4g,0.2g,0g,1%,2%,20%,2%,FRESH SPINACH,dinner
145,Monterey Jack & Cheddar Cheese*,1 OZ,111,82,9.1g,5.1g,0g,25.3mg,172.1mg,7.1g,1g,0g,0g,20%,0%,6%,0%,"MONTEREY JACK & CHEDDAR CHEESE (cheddar cheese, (pasteurized milk, cheese culture, salt, enzymes, annatto [color]), monterey jack cheese (pasteurized milk, cheese culture, salt, enzymes), potato starch and powdered cellulose added to prevent caking, natamycin (a natural mold inhibitor). contains: milk )",dinner
146,Pepperjack Cheese*,1 OZ,108,73,8.1g,5.4g,0g,33.8mg,175.5mg,6.8g,0g,0g,0g,20%,0%,5%,0%,"JALAPENO CHEESE (pasteurized milk, jalapeno peppers, cheese culture, salt, enzymes)",dinner
147,Chili Con Carne,6 OZL,164,46,5.1g,1.9g,0g,26mg,394.4mg,12.8g,16g,4.1g,3.5g,10%,10%,6%,8%,"DICED TOMATOES (tomatoes, tomato juice, less than 2% of: salt, calcium chloride, citric acid), KIDNEY BEANS (dark red kidney beans, water, high fructose corn syrup, sugar, salt, calcium chloride, disodium edta  (to preservative color), and natural flavorings.), GROUND BEEF, TOMATO JUICE (tomato juice from concentrate (water, tomato concentrate), salt, citric acid, vitamin c (ascorbic acid)), FRESH ONIONS, GARLIC (Processed on the same manufacturing line as products that contain soy, wheat, gluten, dairy, eggs,  and tree nuts. ), PEPPER SAUCE (peppers, vinegar, salt, xanthan gum and benzoate of soda (to perserve  freshness and flavor)), TOMATO PASTE (tomato paste, salt, citric acid.), SALT (salt, calcium silicate, dextrose, potassium iodide.), GARLIC POWDER (garlic powder.), CUMIN (cumin), BLACK PEPPER, PAPRIKA (paprika and silicon dioxide (added to make free flowing) ), CAYENNE PEPPER (ground cayenne pepper. ), RED PEPPER",dinner
148,Curry Broth,4 OZ,27,8,0.9g,0.3g,0g,0.4mg,958.4mg,1.1g,3.9g,0.3g,1.7g,1%,5%,1%,2%,"WATER, CHICKEN CONSOMME (water, salt, yeast extract, hydrolyzed soy and  corn protein, sugar, maltodextrin, dried chicken broth, natural flavors, gelatin, disodium inosinate, disodium  guanylate, xanthan gum, and lactose (from milk).), FRESH GREEN ONIONS, THAI FISH SAUCE (water, anchovy extract, salt, sugar), MADRAS CURRY PASTE (tomato paste, expeller pressed canola oil, coconut milk, vinegar, dried  coconut, garlic, salt, coriander, tumeric,  ginger, mustard seeds,  paprika, garlic powder, urad flour, sugar, whole red chilies, citric  acid, curry leaves), LIME JUICE (lime juice from concentrate (water, concentrated lime juice),and less than 2% of lime oil, sodium benzoate (preservative), sodium metabisulfite (preservative).  contains: sulfites. ), SUGAR, FRESH GARLIC, SRIRACHA HOT PEPPER SAUCE (chili, sugar, salt, garlic, distilled vinegar, potassium sorbate, sodium  bisulfite as preservatives, and xanthan gum.)",dinner
149,Roasted Corn Chowder w/Shrimp,6 OZL,244,170,18.8g,8.8g,0.9g,85.1mg,666.3mg,7g,12.2g,1.6g,3g,5%,3%,36%,8%,"WATER, CREAM (heavy cream, milk, contains less than 0.5% of mono and diglycerides, polysorbate 80, carrageenan. contains: milk), CORN (corn, bell peppers, onions, soybean oil, salt, sugar, dehydrated garlic and onion, spices, paprika, citric acid, maltodextrin, natural flavors.), SHRIMP, Oleo Roux (FLOUR (enriched bleached wheat flour (niacin, reduced iron, thiamine  mononitrate, riboflavin, folic acid). Processed in a facility that contains milk, soy and eggs. ), MARGARINE (liquid soybean oil, partially hydrogenated soybean oil, water, salt, soy  lecithin, vegetable mono and diglycerides, potassium sorbate and citric  acid added as preservatives, artificially flavored (gluten free),  artificially colored with beta carotene, vitamin a palmitate added.)), FRESH CELERY, FRESH ONIONS, FRESH CARROTS, CHICKEN BASE (chicken and chicken stock, salt, hydrolyzed soy, corn and wheat proteins, chicken fat, sugar, maltodextrin, dried whey, 2% or less of natural flavors, disodium inosinate/disodium guanylate, corn oil, autolyzed yeast extract, natural extractives or turmeric and annatto.  *other than that which naturally occurs in the hydrolyzed proteins in autolyzed yeast extract.  contains: milk, soy, wheat ingredients), SOY/OLIVE BLEND OIL (80% soybean oil, 20% extra virgin olive oil), FRESH GARLIC, BACON (bacon cured with water, salt, sugar, sodium phosphates, sodium  erythorbate, sodium nitrite.), SALT (salt, calcium silicate, dextrose, potassium iodide.), BLACK PEPPER",dinner
150,Asian Vegetable Stirfry**,4 OZ,81,68,7.5g,1g,0g,0mg,113.8mg,0.6g,3.4g,0.3g,2.3g,0%,1%,0%,4%,"FRESH MUSHROOMS, FRESH ONIONS, FRESH RED PEPPER, FRESH ZUCCHINI, Oil Blend (SOY/OLIVE BLEND OIL (80% soybean oil, 20% extra virgin olive oil), SESAME OIL (100% pure sesame oil.)), Oil Blend (SOY/OLIVE BLEND OIL (80% soybean oil, 20% extra virgin olive oil), SESAME OIL (100% pure sesame oil.)), CHILI GARLIC SAUCE (water, sugar, miso paste (water, soybeans, rice, sea salt, koji starter [aspergillus oryzae]), soy sauce (water, wheat, soybeans, salt, sodium benzoate as a preservative), lima beans (lima beans, water, salt), 2% or less of toasted sesame oil, salt, garlic puree, modified cornstarch, tomato powder, roasted red bell pepper puree, citric acid, paprika, vinegar, xanthan gum.   contains: soy, wheat ingredients), FRESH GARLIC, GINGER ROOT",dinner
151,Chicken Sate w/Peanut Sauce,2 PIECES,257,105,11.6g,3.2g,0g,43.4mg,1833.9mg,23.7g,13.4g,1.6g,7.5g,3%,11%,22%,8%,"Marinade for Thai Chicken Sate (SOY SAUCE (water, wheat, soybeans, salt, sodium benzoate less than 1/10 of 1% as a  preservative.), LIME JUICE (lime juice from concentrate (water, concentrated lime juice),and less than 2% of lime oil, sodium benzoate (preservative), sodium metabisulfite (preservative).  contains: sulfites. ), FRESH GARLIC, PEANUT BUTTER (peanuts, dextrose, hydrogenated vegetable oil (rapeseed and/or cottonseed and/or soybean), salt.  contains: peanuts ), RED PEPPER (crushed red pepper), BROWN SUGAR (brown sugar (cane sugar, cane syrups)), CURRY POWDER (spices, turmeric (as color), salt, red pepper, spice extractive. )), CHICKEN BREAST (Halal certified chicken), Peanut Sauce (PEANUT SAUCE (peanut butter (peanuts, dextrose, corn syrup, hydrogenated cottonseed and canola oil, salt), water, soy sauce (water, wheat, soybeans, salt, sodium benzoate [preservative]), white distilled vinegar, sugar, sesame seed oil, sherry wine, garlic powder, hydrolyzed wheat and soy protein, spice, salt, modified cornstarch, xanthan gum, sodium benzoate (preservative), disodium inosinate and disodium guanylate, natural flavors.), PEANUT BUTTER (peanuts, dextrose, hydrogenated vegetable oil (rapeseed and/or cottonseed and/or soybean), salt.  contains: peanuts ), COCONUT MILK (coconut cream, stabilizer blend of carboxymethyl cellulose, xanthan gum and polysorbate 60. contains: coconut), SRIRACHA HOT PEPPER SAUCE (chili, sugar, salt, garlic, distilled vinegar, potassium sorbate, sodium  bisulfite as preservatives, and xanthan gum.)), VEGETABLE PAN SPRAY (soybean oil, soybean lecithin (hr), silicon dioxide, water and  propellant (non-chloroflurocarbon). contains: soy.)",dinner
152,Fried Zucchini w/Pork & Prawns,4 OZ,139,57,6.3g,1.1g,0g,51.9mg,676.5mg,11.5g,8.5g,0.6g,5.3g,3%,4%,4%,15%,"FRESH ZUCCHINI, PORK, CHILI GARLIC SAUCE (water, sugar, miso paste (water, soybeans, rice, sea salt, koji starter [aspergillus oryzae]), soy sauce (water, wheat, soybeans, salt, sodium benzoate as a preservative), lima beans (lima beans, water, salt), 2% or less of toasted sesame oil, salt, garlic puree, modified cornstarch, tomato powder, roasted red bell pepper puree, citric acid, paprika, vinegar, xanthan gum.   contains: soy, wheat ingredients), SHRIMP, FRESH ONIONS, THAI FISH SAUCE (water, anchovy extract, salt, sugar), FRESH GREEN ONION, FRESH RED PEPPER, Oil Blend (SOY/OLIVE BLEND OIL (80% soybean oil, 20% extra virgin olive oil), SESAME OIL (100% pure sesame oil.)), FRESH GARLIC, CILANTRO",dinner
153,Steamed Rice**,4 OZ,208,0,0g,0g,0g,0mg,0mg,3.9g,48.1g,0g,0g,0%,3%,0%,0%,"JASMINE RICE, WATER",dinner
154,Thai Coconut Soup,6 OZ,400,343,38g,32.4g,0g,25.4mg,455.6mg,12.9g,7.1g,0.4g,1.2g,5%,35%,12%,9%,"COCONUT MILK (coconut cream, stabilizer blend of carboxymethyl cellulose, xanthan gum and polysorbate 60. contains: coconut), WATER, CHICKEN BREAST (Halal certified chicken), CILANTRO, FRESH GREEN ONIONS, LIME JUICE (lime juice from concentrate (water, concentrated lime juice),and less than 2% of lime oil, sodium benzoate (preservative), sodium metabisulfite (preservative).  contains: sulfites. ), SRIRACHA HOT PEPPER SAUCE (chili, sugar, salt, garlic, distilled vinegar, potassium sorbate, sodium  bisulfite as preservatives, and xanthan gum.), CHICKEN BASE (chicken and chicken stock, salt, hydrolyzed soy, corn and wheat proteins, chicken fat, sugar, maltodextrin, dried whey, 2% or less of natural flavors, disodium inosinate/disodium guanylate, corn oil, autolyzed yeast extract, natural extractives or turmeric and annatto.  *other than that which naturally occurs in the hydrolyzed proteins in autolyzed yeast extract.  contains: milk, soy, wheat ingredients), THAI FISH SAUCE (water, anchovy extract, salt, sugar), LEMONGRASS FLAVOR (soybean oil, natural extractives of lemograss)",dinner
155,Carved Leg of Lamb,4 OZ,226,107,11.9g,3.2g,0g,79.3mg,63.2mg,25.5g,1.9g,0.4g,0.6g,2%,12%,1%,4%,"LEG OF LAMB, FRESH ONIONS, WHITE WINE, FRESH GREEN ONIONS, OLIVE OIL, FRESH GARLIC, BAY LEAVES, ROSEMARY, THYME LEAVES, BLACK PEPPER, SALT (salt, calcium silicate, dextrose, potassium iodide.)",dinner
156,Gaucho's Carved Beef,4 OZ,191,98,10.8g,4.3g,0g,23,2, ,0g,0g, ,1%,13%,0%,0%,BEEF SIRLOIN,dinner
157,All Beef Burger,2 1/2 OZ,211,108,11.9g,4.7g,0g,51.3mg,348.2mg,16g,9.7g,0.1g,2.5g,4%,11%,2%,0%,"GROUND BEEF, SWEET ROLL (unbleached enriched flour (wheat flour, malted barley flour, niacin, reduced iron, thiamin mononitrate, riboflavin, folic acid), nonfat milk, sugar, water , butter* (made from milk) , wheat gluten, yeast, contains 2% or less of each of the following: yellow corn flour, calcium sulfate, salt, potato flour, dough conditioners (contains one or more of the following:  sodium stearoyl lactylate, calcium stearoyl lactylate, monoglycerides, mono- and diglycerides, distilled monoglycerides, calcium peroxide, calcium iodate, datem, ethoxylated mono- and diglycerides,  enzymes, ascorbic acid), soy flour, wheat starch, soy lecithin, glaze (water, sunflower oil, vegetable proteins, wheat maltodextrins, wheat dextrose, corn starch), calcium carbonate, monocalcium phosphate , calcium propionate (to retard spoilage).), Burger Seasoning (SHIITAKE MUSHROOM EXTRACT POWDER (maltodextrin, shiitake mushroom extract, yeast extract, and salt), SALT (salt, calcium silicate, dextrose, potassium iodide.), GARLIC SALT (salt, garlic, calcium silicate (added to make free flowing), and garlic oil.), BLACK PEPPER, PAPRIKA (paprika and silicon dioxide (added to make free flowing) )), GRIDDLE OIL (high oleic canola oil, soybean oil, hydrogenated soybean oil, salt,  soybean lecithin (soy), natural and artificial butter flavor (made from  corn-gluten and dairy-free). tbhq and citric acid added. colored with  beta carotene. vitamin a palmitate added.  contains soy.)",dinner
158,"Chicken Breast, Crispy Fried",3 OZ,201,27,3g,1.1g,0g,55.3mg,1239.3mg,22.9g,19.9g,0g,1.7g,4%,8%,0%,0%,"CHICKEN BREAST (Halal certified chicken), SEASONED FLOUR (wheat flour, salt, pepper and other spices, dextrose, monosodium glutamate,  disodium inosinate, disodium guanylate.), SWEET ROLL (unbleached enriched flour (wheat flour, malted barley flour, niacin, reduced iron, thiamin mononitrate, riboflavin, folic acid), nonfat milk, sugar, water , butter* (made from milk) , wheat gluten, yeast, contains 2% or less of each of the following: yellow corn flour, calcium sulfate, salt, potato flour, dough conditioners (contains one or more of the following:  sodium stearoyl lactylate, calcium stearoyl lactylate, monoglycerides, mono- and diglycerides, distilled monoglycerides, calcium peroxide, calcium iodate, datem, ethoxylated mono- and diglycerides,  enzymes, ascorbic acid), soy flour, wheat starch, soy lecithin, glaze (water, sunflower oil, vegetable proteins, wheat maltodextrins, wheat dextrose, corn starch), calcium carbonate, monocalcium phosphate , calcium propionate (to retard spoilage).)",dinner
159,French Fries**,4 OZ,162,49,5.4g,1.4g,0g,0mg,445.5mg,2.7g,25.7g,2.7g,0g,0%,5%,0%,8%,"FRENCH FRIES (potatoes, vegetable oil (may contain one or more of the following: canola oil, sunflower oil, cottonseed oil, palm oil, corn oil, soybean oil, hydrogenated soybean and/or cottonseed oil), salt, disodium dihydrogen pyrophosphate (to promote color retention), dextrose.)",dinner
160,Pepper Jelly**,1 OZ,72,0,0g,0g,0g,0mg,0.8mg,0g,18.5g,0.1g,18.4g,0%,0%,1%,6%,"SUGAR, VINEGAR (apple cider vinegar (diluted with water to 5% acidity). ), FRESH GREEN PEPPERS, FRESH RED PEPPER, JALAPENOS, PECTIN POWDER (dextrose, citric acid (assists gel), fruit pectin), MARGARINE (liquid soybean oil, partially hydrogenated soybean oil, water, salt, soy  lecithin, vegetable mono and diglycerides, potassium sorbate and citric  acid added as preservatives, artificially flavored (gluten free),  artificially colored with beta carotene, vitamin a palmitate added.), RED PEPPER (crushed red pepper)",dinner
161,Pork Belly for Burgers,1 OZ,163,151,16.8g,5.7g,0g,20.4mg,21.6mg,2.6g,0g,0g,0g,0%,1%,2%,0%,"SMOKED PORK BELLY, GRIDDLE OIL (high oleic canola oil, soybean oil, hydrogenated soybean oil, salt,  soybean lecithin (soy), natural and artificial butter flavor (made from  corn-gluten and dairy-free). tbhq and citric acid added. colored with  beta carotene. vitamin a palmitate added.  contains soy.)",dinner
162,Ranch Fries**,3 OZ,109,32,3.6g,0.9g,0g,0mg,910mg,1.8g,17.4g,1.8g,0.2g,0%,4%,0%,5%,"FRENCH FRIES (potatoes, vegetable oil (may contain one or more of the following: canola oil, sunflower oil, cottonseed oil, palm oil, corn oil, soybean oil, hydrogenated soybean and/or cottonseed oil), salt, disodium dihydrogen pyrophosphate (to promote color retention), dextrose.), Ranch Seasoning for Fries** (RANCH DRESSING MIX (salt, monosodium glutamate, maltodextrin, dehydrated parsley, garlic powder, onion powder, canola oil, carrageenan, buttermilk product, turmeric (color), with not more than 2% calcium stearate added as an anti-caking agent. Contains: Milk), KOSHER SALT (salt, yellow prussiate of soda), SUGAR, ONION POWDER (onion powder. ))",dinner
163,Asparagus & Roasted Peppers,3 OZ,30,15,1.6g,1g,0.1g,3.9mg,11.3mg,1.9g,3.3g,1.6g,1g,2%,4%,17%,10%,"ASPARAGUS, FRESH RED PEPPER, BUTTER (pasteurized cream, natural flavorings  contains: milk )",dinner
164,Brazilian Chimichurri Sauce**,1 OZ,104,102,11.3g,1.6g,0g,0mg,223mg,0.5g,1.7g,0.3g,0.1g,2%,2%,12%,11%,"SOY/OLIVE BLEND OIL (80% soybean oil, 20% extra virgin olive oil), WINE VINEGAR (red wine vinegar, potassium metabisulfite (to preserve freshness), diluted with water to 5% acidity.  contains: sulfites ), FRESH GARLIC, PARSLEY, CILANTRO, BASIL, SALT (salt, calcium silicate, dextrose, potassium iodide.), PEPPER SAUCE (vinegar, aged peppers (peppers, salt, vinegar), water, xanthan gum and benzoate of soda (to preserve freshness and flavor)), BLACK PEPPER",dinner
165,Ghost Pepper Mac & Cheese*,3 OZ,239,95,10.6g,5.4g,0.2g,26.7mg,210.9mg,11.2g,25.8g,1.1g,3.5g,23%,6%,7%,0%,"WHOLE MILK (milk, vitamin D3 added), ELBOW MACARONI (semolina (wheat), durum wheat flour, niacin, iron (ferrous sulfate), thiamine mononitrate, riboflavin, folic acid. contains wheat ingredients.  this product is manufactured on equipment that processes products containing eggs ), MONTEREY JACK & CHEDDAR CHEESE (cheddar cheese, (pasteurized milk, cheese culture, salt, enzymes, annatto [color]), monterey jack cheese (pasteurized milk, cheese culture, salt, enzymes), potato starch and powdered cellulose added to prevent caking, natamycin (a natural mold inhibitor). contains: milk ), SMOKY GHOST PEPPER SHREDDED CHEESE (monterey jack cheese (pasteurized milk, jalapeno peppers, habanero peppers, cheese culture, salt, enzymes, ghost chili flakes and natural hickory smoke flavor), potato starch and powdered cellulose added to prevent caking, natamycin (a natural mold inhibitor). Contains: Milk), Oleo Roux (FLOUR (enriched bleached wheat flour (niacin, reduced iron, thiamine  mononitrate, riboflavin, folic acid). Processed in a facility that contains milk, soy and eggs. ), MARGARINE (liquid soybean oil, partially hydrogenated soybean oil, water, salt, soy  lecithin, vegetable mono and diglycerides, potassium sorbate and citric  acid added as preservatives, artificially flavored (gluten free),  artificially colored with beta carotene, vitamin a palmitate added.)), MONTEREY JACK & CHEDDAR CHEESE (cheddar cheese, (pasteurized milk, cheese culture, salt, enzymes, annatto [color]), monterey jack cheese (pasteurized milk, cheese culture, salt, enzymes), potato starch and powdered cellulose added to prevent caking, natamycin (a natural mold inhibitor). contains: milk ), BLEU CHEESE (blue cheese (pasteurized milk, cheese cultures, salt, enzymes), powdered cellulose to prevent caking, natamycin to protect flavor.  contains: milk ), SRIRACHA HOT PEPPER SAUCE (chili, sugar, salt, garlic, distilled vinegar, potassium sorbate, sodium  bisulfite as preservatives, and xanthan gum.), DRY MUSTARD (mustard), ONION POWDER (onion powder. ), KOSHER SALT (salt, yellow prussiate of soda), WHITE PEPPER",dinner
166,"Cereal, Cocoa Pebbles**",3/4 CUP,120,9,1g,1g,0g,0mg,169.9mg,1g,25g,0g,10g,0%,10%,15%,0%,"COCOA PEBBLES CEREAL (rice, sugar, hydrogenated vegetable oil (coconut and palm kernel oils),  cocoa (processed with alkali), salt, caramel color, natural and  artificial flavor, bha (to help protect flavor). vitamins and minerals:   niacinamide, reduced iron, zinc oxide (source of zinc), vitamin b6,  vitamin a palmitate, riboflavin (vitamin b2), thiamin mononitrate  (vitamin b1), folic acid, vitamin b12, vitamin d. kosher)",dinner
167,"Cereal, Fruity Pebbles**",3/4 CUP,110,9,1g,1g,0g,0mg,139.9mg,1g,23g,0g,9g,0%,10%,14%,10%,"FRUITY PEBBLES CEREAL (rice, sugar, hydrogenated vegetable oil (coconut and palm kernel oils),  salt, contains less than 0.5% of natural and artificial flavor, red 40,  yellow 6, turmeric oleoresin (color), blue 1, yellow 5, blue 2, bha (to  help protect flavor).  vitamins and minerals: sodium ascorbate (source  of vitamin c), ascorbic acid (vitamin c), niacinamide, reduced iron,  zinc oxide (source of zinc), vitamin b6, vitamin a palmitate, riboflavin  (vitamin b2), thiamin mononitrate (vitamin b1), folic acid, vitamin  b12, vitamin d.  kosher)",dinner
168,"Cereal, Rice Chex**",3/4 CUP,100,0,0g,0g,0g,0mg,239.9mg,2g,23g,1g,2g,10%,50%,1%,10%,"RICE CHEX CEREAL (whole grain rice, rice, sugar, salt, molasses. vitamin e (mixed  tocopherols) and bht added to preserve freshness.vitamins and minerals:  calcium carbonate, iron and zinc (mineral nutrients), vitamin c (sodium  ascorbate), a b vitamin (niacinamide), vitamin b6 (pyridoxine  hydrochloride), vitamin b2 (riboflavin), vitamin b1 (thiamin  mononitrate), vitamin a (palmitate), a b vitamin (folic acid), vitamin  b12, vitamin d3.)",dinner
169,Cider Apples*,2 OZ,60,31,3.4g,1.2g,0.1g,3.8mg,59.8mg,0.2g,8.3g,1.4g,6.6g,1%,1%,2%,1%,"GRANNY SMITH APPLE, UNSALTED BUTTER (pasteurized cream, natural flavorings contains: milk), SOY/OLIVE BLEND OIL (80% soybean oil, 20% extra virgin olive oil), SUGAR, APPLE CIDER, ORGANIC RUBBED SAGE LEAF, KOSHER SALT (salt, yellow prussiate of soda)",dinner
170,Gluten Free Brownie*,1 BROWNIE,350,144,16g,2g,0g,50mg,240mg,3g,48g,2g,34g,2%,2%,0%,0%,"GLUTEN FREE BROWNIE (sugar, expeller pressed canola oil, eggs, potato starch, cocoa alkali  processed, salt, xanthan gum, natural vanilla flavor, natural chocolate flavor.  contains: eggs  manufactured on shared equipment with soy.)",dinner
171,Gluten Free Chocolate Chip Cookie*,1 COOKIE,320,144,16g,8g,0g,25mg,250mg,1g,43g,1g,22g,8%,8%,0%,0%,"GLUTEN FREE CHOCOLATE CHIP COOKIE (potato starch, semisweet chocolate chips (dried cane syrup, chocolate  liquor, cocoa butter), brown sugar, organic palm oil, eggs, invert  sugar, sugar, tapioca starch, expeller pressed canola oil, leavening  (sodium acid pyrophosphate, baking soda, monocalcium phosphate), xanthan  gum, salt, natural vanilla flavor. contains: eggs manufactured on shared equipment with soy.)",dinner
172,Grilled Hard Cider Porkloin,4 OZ,172,52,5.7g,1.7g,0g,70.8mg,517mg,25g,4.1g,0.3g,0.4g,2%,4%,0%,10%,"PORK, LIME JUICE (lime juice from concentrate (water, concentrated lime juice),and less than 2% of lime oil, sodium benzoate (preservative), sodium metabisulfite (preservative).  contains: sulfites. ), LEMON JUICE (filtered water, lemon juice concentrate, sodium bisulfite (preservative), sodium  benzoate (preservative), lemon oil.), FRESH GARLIC, KOSHER SALT (salt, yellow prussiate of soda)",dinner
173,Lemon Herb Rotisserie Chicken,1/4 CHICK,244,107,11.8g,3.3g,0g,94.3mg,1027.6mg,31.5g,1.2g,0.4g,0.2g,2%,8%,6%,4%,"Brine for Chicken (CRUSHED ICE, WATER, PARSLEY, CRACKED BLACK PEPPER, LEMONS, KOSHER SALT (salt, yellow prussiate of soda), FRESH GARLIC, BROWN SUGAR (brown sugar (cane sugar, cane syrups)), BAY LEAVES, LEMON JUICE (filtered water, lemon juice concentrate, sodium bisulfite (preservative), sodium  benzoate (preservative), lemon oil.)), CHICKEN LEGS (Halal certified chicken), CHICKEN BREAST (Halal certified chicken), LEMON PEPPER SEASONING (salt, black pepper, citric acid, onion, sugar, garlic, calcium stearate,  silicon dioxide, and calcium silicate( added to make free flowing), celery seed, lemon oil, and fd&c  yellow 5 lake.)",dinner
